lon,lat,count,z_standardized,lag,Gi_z,Gi_cat,Moran_I_overall
-87.95,41.62,149.0,-0.3159626012478735,-0.40233087931007777,-0.7615720430030921,0,0.7718002950243339
-87.94587155963303,41.62,0.0,-0.40233087931007777,-0.373541453289343,-0.950442069058492,0,0.7718002950243339
-87.94174311926606,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.93761467889908,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.93348623853211,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.92935779816514,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.92522935779817,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.92110091743119,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.91697247706422,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.91284403669725,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.90871559633028,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.9045871559633,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.90045871559633,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.89633027522936,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.89220183486239,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.88807339449542,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
-87.88394495412844,41.62,0.0,-0.40233087931007777,-0.40233087931007777,-0.9857090588511036,0,0.7718002950243339
