crime_type,val_mae,val_rmse,test_mae,test_rmse,val_acc,test_acc
THEFT,0.017691029235720634,0.15358398022242048,0.014742525294423103,0.13127916528589767,0.9845099667774087,0.9863787375415283
BATTERY,0.011046512052416801,0.10936239289105082,0.009426910430192947,0.10168840325539934,0.9894102990033222,0.9910299003322259
CRIMINAL DAMAGE,0.07010906934738159,0.10138185189224086,0.07050980627536774,0.10138483279786571,0.9943521594684386,0.9941445182724252
ASSAULT,0.006436876952648163,0.08327794438380863,0.005523256026208401,0.0748753117171153,0.993812292358804,0.9945182724252492
DECEPTIVE PRACTICE,0.12683624029159546,0.14042561356706043,0.12626084685325623,0.13717661890486266,0.9952242524916943,0.9958887043189368
